"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","44","Week 44","Number","13488"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","45","Week 45","Number","15373"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","46","Week 46","Number","15730"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","47","Week 47","Number","15306"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","48","Week 48","Number","15520"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","49","Week 49","Number","16320"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","50","Week 50","Number","16000"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","51","Week 51","Number","16195"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","52","Week 52","Number","4882"
"THA22C01","Average weekly volume of heavy goods vehicles","2019","2019","20","Selected traffic sites - Regional","53","Week 53","Number",""
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","01","Week 01","Number","21007"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","02","Week 02","Number","42054"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","03","Week 03","Number","43727"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","04","Week 04","Number","44415"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","05","Week 05","Number","44479"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","06","Week 06","Number","44839"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","07","Week 07","Number","43672"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","08","Week 08","Number","44516"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","09","Week 09","Number","44497"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","10","Week 10","Number","46362"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","11","Week 11","Number","47411"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","12","Week 12","Number","40137"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","13","Week 13","Number","44447"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","14","Week 14","Number","28099"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","15","Week 15","Number","25812"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","16","Week 16","Number","23460"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","17","Week 17","Number","27389"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","18","Week 18","Number","28668"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","19","Week 19","Number","26065"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","20","Week 20","Number","30139"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","21","Week 21","Number","38828"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","22","Week 22","Number","41753"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","23","Week 23","Number","38104"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","24","Week 24","Number","43727"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","25","Week 25","Number","43846"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","26","Week 26","Number","44004"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","27","Week 27","Number","45038"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","28","Week 28","Number","44822"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","29","Week 29","Number","44049"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","30","Week 30","Number","44327"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","31","Week 31","Number","43459"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","32","Week 32","Number","38129"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","33","Week 33","Number","43811"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","34","Week 34","Number","43282"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","35","Week 35","Number","43934"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","36","Week 36","Number","44803"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","37","Week 37","Number","45076"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","38","Week 38","Number","46214"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","39","Week 39","Number","46030"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","40","Week 40","Number","46474"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","41","Week 41","Number","45906"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","42","Week 42","Number","46591"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","43","Week 43","Number","46845"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","44","Week 44","Number","41479"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","45","Week 45","Number","46947"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","46","Week 46","Number","46837"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","47","Week 47","Number","47281"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","48","Week 48","Number","48101"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","49","Week 49","Number","48718"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","50","Week 50","Number","49328"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","51","Week 51","Number","50049"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","52","Week 52","Number","25598"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","10","Selected traffic sites - Dublin","53","Week 53","Number","15878"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","01","Week 01","Number","7676"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","02","Week 02","Number","14148"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","03","Week 03","Number","14236"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","04","Week 04","Number","14918"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","05","Week 05","Number","15038"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","06","Week 06","Number","15084"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","07","Week 07","Number","14686"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","08","Week 08","Number","15090"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","09","Week 09","Number","15032"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","10","Week 10","Number","15651"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","11","Week 11","Number","15966"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","12","Week 12","Number","13854"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","13","Week 13","Number","15147"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","14","Week 14","Number","11202"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","15","Week 15","Number","10674"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","16","Week 16","Number","9523"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","17","Week 17","Number","11187"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","18","Week 18","Number","11414"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","19","Week 19","Number","10430"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","20","Week 20","Number","12092"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","21","Week 21","Number","13617"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","22","Week 22","Number","14151"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","23","Week 23","Number","13070"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","24","Week 24","Number","15152"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","25","Week 25","Number","15319"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","26","Week 26","Number","15378"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","27","Week 27","Number","15500"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","28","Week 28","Number","15785"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","29","Week 29","Number","15904"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","30","Week 30","Number","15899"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","31","Week 31","Number","15345"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","32","Week 32","Number","13485"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","33","Week 33","Number","15506"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","34","Week 34","Number","15132"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","35","Week 35","Number","15445"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","36","Week 36","Number","15377"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","37","Week 37","Number","15996"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","38","Week 38","Number","15885"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","39","Week 39","Number","15779"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","40","Week 40","Number","15873"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","41","Week 41","Number","16039"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","42","Week 42","Number","16133"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","43","Week 43","Number","16066"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","44","Week 44","Number","13977"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","45","Week 45","Number","16082"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","46","Week 46","Number","16220"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","47","Week 47","Number","16285"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","48","Week 48","Number","15903"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","49","Week 49","Number","16974"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","50","Week 50","Number","17389"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","51","Week 51","Number","17515"
"THA22C01","Average weekly volume of heavy goods vehicles","2020","2020","20","Selected traffic sites - Regional","52","Week 52","Number","9307"
