"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","50","Week 50","Number","194046"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","51","Week 51","Number","195796"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","52","Week 52","Number","140418"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","53","Week 53","Number",""
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","01","Week 01","Number","459023"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","02","Week 02","Number","535401"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","03","Week 03","Number","546354"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","04","Week 04","Number","556012"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","05","Week 05","Number","563146"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","06","Week 06","Number","551737"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","07","Week 07","Number","547994"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","08","Week 08","Number","566784"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","09","Week 09","Number","560278"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","10","Week 10","Number","563919"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","11","Week 11","Number","483016"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","12","Week 12","Number","327382"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","13","Week 13","Number","248058"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","14","Week 14","Number","143557"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","15","Week 15","Number","134308"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","16","Week 16","Number","134401"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","17","Week 17","Number","155938"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","18","Week 18","Number","159169"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","19","Week 19","Number","169694"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","20","Week 20","Number","200968"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","21","Week 21","Number","263438"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","22","Week 22","Number","286726"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","23","Week 23","Number","289055"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","24","Week 24","Number","369887"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","25","Week 25","Number","397286"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","26","Week 26","Number","413348"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","27","Week 27","Number","449555"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","28","Week 28","Number","463106"
