Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Ballybay,Monaghan,54.1294617,-6.9027864,62,0,14,2,1226,340,1644,0,Town (Small)
Ballybofey-Stranorlar,Donegal,54.80166699999999,-7.774999999999999,662,4,36,4,4648,762,6116,0,Town (Small)
Ballyboghil,Dublin,53.52020599999999,-6.267595399999999,94,6,4,32,804,162,1102,0,Town (Small)
Ballybrittas,Laois,53.109028,-7.1374187,60,2,2,14,518,16,612,0,Town (Small)
Ballybunion,Kerry,52.51108,-9.670969999999999,34,0,2,10,1234,276,1556,0,Town (Small)
Ballycanew,Wexford,52.6106782,-6.3049672,76,0,6,6,526,90,704,0,Town (Small)
Ballycannan,Clare,52.70296399999999,-8.649498,30,4,2,0,708,12,756,0,Town (Small)
Ballycastle,Mayo,54.2796698,-9.372464299999999,22,0,0,0,150,20,192,0,Town (Small)
Ballyclerahan,Tipperary,52.4118971,-7.753067199999999,58,2,10,2,1092,118,1282,0,Town (Small)
Ballyclogh,Cork,52.1673919,-8.742242,42,0,6,2,276,44,370,0,Town (Small)
Ballycolla,Laois,52.8825474,-7.446860600000001,4,0,0,0,136,6,146,0,Town (Small)
Ballyconnell,Cavan,54.1162175,-7.583954299999999,206,12,10,4,1132,350,1714,0,Town (Small)
Ballycotton,Cork,51.8299148,-8.0097621,38,0,0,0,426,72,536,0,Town (Small)
Ballycullane,Wexford,52.2803179,-6.8397818,30,0,2,2,182,34,250,0,Town (Small)
Ballycumber,Offaly,53.3264159,-7.686113700000001,16,0,0,0,214,18,248,0,Town (Small)
Ballydehob,Cork,51.5644261,-9.463412199999999,22,0,4,0,222,58,306,0,Town (Small)
Ballydesmond,Cork,52.1796564,-9.2341524,18,2,12,0,228,28,288,0,Town (Small)
Ballyduff,Kerry,52.45455159999999,-9.662905199999999,74,2,0,0,340,62,478,0,Town (Small)
Ballyforan,Roscommon,53.4700864,-8.270057999999999,28,0,0,0,184,50,262,0,Town (Small)
Ballygar,Galway,53.5238778,-8.3346912,34,2,2,2,554,192,786,0,Town (Small)
Ballygarvan,Cork,51.824267,-8.4612549,82,0,4,0,626,114,826,0,Town (Small)
Ballygawley,Sligo,54.1920204,-8.4452435,36,0,0,2,356,8,402,0,Town (Small)
Ballyhack,Wexford,52.2487468,-6.9640362,12,0,0,0,154,32,198,0,Town (Small)
Ballyhahill,Limerick,52.5595432,-9.1944765,24,0,2,0,120,34,180,0,Town (Small)
Ballyhaise,Cavan,54.0473393,-7.315509299999999,124,0,4,2,692,172,994,0,Town (Small)
Ballyhale,Kilkenny,52.4669813,-7.2002655,6,0,2,0,182,40,230,0,Town (Small)
Ballyhaunis,Mayo,53.7628378,-8.7645957,180,2,12,26,1724,950,2894,0,Town (Small)
Ballyheigue,Kerry,52.3904645,-9.8277419,120,0,2,4,378,42,546,0,Town (Small)
Ballyhogue,Wexford,52.41432,-6.575349999999999,60,0,0,0,252,22,334,0,Town (Small)
Ballyhooly,Cork,52.1452748,-8.3980968,80,0,0,0,606,124,810,0,Town (Small)
Ballyjamesduff,Cavan,53.8638736,-7.206456199999999,164,2,16,4,2534,1082,3802,0,Town (Small)
