Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Tulla,Clare,52.8692148,-8.7607816,28,0,6,4,684,180,902,0,Town (Small)
Tullaghan,Leitrim,54.468449,-8.3290498,12,0,4,0,312,12,340,0,Town (Small)
Tullamore,Offaly,53.2752768,-7.4924439,1274,28,52,446,12244,3828,17872,3,Town (Medium)
Tullow,Carlow,52.802547,-6.7371517,278,0,20,16,4516,1304,6134,0,Town (Small)
Tullyallen,Louth,53.73661,-6.42244,388,6,4,28,1674,370,2470,0,Town (Small)
Tulsk,Roscommon,53.7799868,-8.2560526,22,0,2,4,184,20,232,0,Town (Small)
Turlough,Mayo,53.8841074,-9.2124764,36,0,2,0,572,8,618,0,Town (Small)
Turloughmore,Galway,53.3821288,-8.853684,30,0,2,0,298,4,334,0,Town (Small)
Two Mile House,Kildare,53.1702248,-6.700301899999999,76,0,2,22,522,80,702,0,Town (Small)
Twomileborris,Tipperary,52.6725745,-7.711432999999999,34,0,2,8,514,50,608,0,Town (Small)
Tyrrellspass,Westmeath,53.3889615,-7.3773447,42,0,2,2,306,74,426,0,Town (Small)
Unionhall,Cork,51.558803,-9.1434791,54,0,0,0,302,66,422,0,Town (Small)
Urlingford,Kilkenny,52.7205983,-7.5821799,120,2,10,12,876,312,1332,0,Town (Small)
Villierstown,Waterford,52.08824449999999,-7.850768,50,0,2,0,240,46,338,0,Town (Small)
Virginia,Cavan,53.8344096,-7.0813222,282,6,18,10,2730,878,3924,0,Town (Small)
Walsh Island or Coolagary,Offaly,53.234638,-7.2138556,68,0,4,8,368,92,540,0,Town (Small)
Waterford city and suburbs,Waterford,52.2593197,-7.110070299999999,3786,284,186,182,48764,14232,67434,2,Town (Large)
Watergrasshill,Cork,52.0113682,-8.3440414,302,0,16,2,2004,456,2780,0,Town (Small)
Waterville,Kerry,51.829465,-10.1745436,102,0,6,0,388,108,604,0,Town (Small)
Westport,Mayo,53.8011505,-9.5223,358,12,10,50,5124,2274,7828,0,Town (Small)
Wexford,Wexford,52.336916,-6.4633381,980,52,66,82,17430,5748,24358,3,Town (Medium)
Whitechurch,Cork,51.9840023,-8.516469899999999,66,4,4,0,1048,12,1134,0,Town (Small)
Whitegate,Clare,52.9505524,-8.3729064,18,0,2,0,172,8,200,0,Town (Small)
Whitegate,Cork,51.8267841,-8.2321121,234,2,4,10,1398,90,1738,0,Town (Small)
Wicklow,Wicklow,52.9808207,-6.044588999999999,1070,38,40,464,11564,2834,16010,3,Town (Medium)
Williamstown,Galway,53.6777196,-8.579964,10,0,2,0,176,28,216,0,Town (Small)
Woodford,Galway,53.0521803,-8.4002368,2,0,4,0,244,26,276,0,Town (Small)
Youghal,Cork,51.9542704,-7.8471707,786,12,36,22,7088,1338,9282,0,Town (Small)
