Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Belgooly,Cork,51.7368994,-8.481586900000002,206,0,2,6,888,140,1242,0
Bellanagare,Roscommon,53.8369829,-8.3815026,12,0,4,0,124,14,154,0
Bellanode,Monaghan,54.266922,-7.0364418,64,0,2,0,484,22,572,0
Bellavary,Mayo,53.89366,-9.15104,20,0,0,0,186,34,240,0
Belmont,Offaly,53.2560708,-7.895165199999999,12,0,0,0,152,14,178,0
Belturbet,Cavan,54.10190559999999,-7.449668,120,0,4,6,1154,306,1590,0
Bennettsbridge,Kilkenny,52.5923475,-7.1843272,72,0,8,2,600,100,782,0
Birr,Offaly,53.0980052,-7.909688200000001,152,2,24,36,3602,1314,5130,0
Blacklion,Cavan,54.2920639,-7.875127599999999,8,0,0,4,162,22,196,0
Blackwater,Wexford,52.4473539,-6.346930299999999,60,0,0,2,390,62,514,0
Blarney,Cork,51.9338275,-8.5612438,198,4,2,8,2798,370,3380,0
Blessington,Wicklow,53.1696579,-6.534068700000001,808,20,16,52,5150,1570,7616,0
Boherbue,Cork,52.1582386,-9.0684828,8,0,0,0,406,118,532,0
Boherlahan,Tipperary,52.5730161,-7.893562899999999,16,0,2,4,170,20,212,0
Bohola,Mayo,53.9025842,-9.0549945,26,0,0,0,170,10,206,0
Bonniconlon,Mayo,54.10908999999999,-9.03075,12,0,0,0,204,36,252,0
Borris,Carlow,52.6012982,-6.9279771,20,0,4,6,438,164,632,0
Borris-In-Ossory,Laois,52.93917769999999,-7.6310983,104,0,4,6,538,124,776,0
Borrisokane,Tipperary,52.9963736,-8.127325599999999,62,6,2,0,808,330,1208,0
Borrisoleigh,Tipperary,52.7525257,-7.957887599999999,12,2,12,8,662,134,830,0
Boyle,Roscommon,53.9722082,-8.2972756,136,0,14,20,1886,684,2740,0
Bracknagh,Offaly,53.209205,-7.0981836,28,0,4,4,238,16,290,0
Brannockstown,Kildare,53.1226695,-6.693786599999999,8,4,2,10,254,10,288,0
Bray,Wicklow,53.2006993,-6.110931900000001,4460,170,114,3360,22580,8834,39518,3
Bree,Wexford,52.43517689999999,-6.6087149,34,0,0,2,318,58,412,0
Bridebridge,Cork,51.9271158,-8.4865968,24,2,4,0,204,28,262,0
Bridge End,Donegal,55.0422391,-7.3821884,50,0,4,0,360,52,466,0
Bridgetown,Wexford,52.2302422,-6.549064,80,0,0,0,446,92,618,0
Brittas,Dublin,53.2288212,-6.4432551,26,0,2,4,168,2,202,0
Broadford,Clare,52.8060302,-8.6328674,36,0,4,0,328,56,424,0
Broadford,Limerick,52.34552859999999,-8.9752937,12,0,2,0,194,48,256,0
Brosna,Kerry,52.3125648,-9.267679,16,0,0,0,130,14,160,0
Bruff,Limerick,52.4755485,-8.5474034,106,0,8,4,756,172,1046,0
Bruree,Limerick,52.4243025,-8.6606015,62,0,4,0,600,56,722,0
Bun Na Leaca,Donegal,55.1297357,-8.2804066,148,0,0,0,422,26,596,0
Bunclody,Wexford,52.6550857,-6.652193,52,2,4,12,1474,456,2000,0
Buncrana,Donegal,55.1365797,-7.4560128,374,0,48,4,6672,1124,8222,0
Bundoran,Donegal,54.4791416,-8.2779341,122,2,6,12,1906,720,2768,0
Bunratty,Clare,52.6980379,-8.8148982,36,2,0,2,338,12,390,0
Burnfoot,Donegal,55.0583056,-7.4049447,92,0,6,0,378,10,486,0
Butlersbridge,Cavan,54.0452119,-7.3769588,20,0,4,0,260,46,330,0
Buttevant,Cork,52.2321335,-8.670124699999999,52,2,2,8,836,208,1108,0
Bweeng,Cork,52.0448011,-8.7231577,96,0,4,2,908,82,1092,0
Béal An Mhuirthead,Mayo,54.2238996,-9.9876028,50,0,4,2,854,274,1184,0
Béal Átha An Ghaorthaidh,Cork,51.8507469,-9.232640199999999,2,0,0,0,246,46,294,0
Caherconlish,Limerick,52.5951658,-8.4723577,236,0,2,2,1498,180,1918,0
Cahir,Tipperary,52.3745296,-7.925246899999999,308,2,12,20,2970,832,4144,0
Cahirciveen,Kerry,51.9477992,-10.2209047,56,2,2,2,672,372,1106,0
Callan,Kilkenny,52.544567,-7.390170899999999,182,4,6,8,2396,656,3252,0
Calverstown,Kildare,53.0826121,-6.797989400000001,132,0,2,28,760,20,942,0
Camolin,Wexford,52.6156787,-6.4263356,66,4,10,0,352,64,496,0
Campile,Wexford,52.2881507,-6.9413872,114,0,2,0,262,12,390,0
Cappamore,Limerick,52.6149925,-8.3377813,80,6,6,0,470,166,728,0
Cappawhite,Tipperary,52.5822151,-8.164659000000002,36,0,0,4,334,78,452,0
Cappoquin,Waterford,52.1462713,-7.842743799999999,116,0,4,0,566,162,848,0
Carlanstown,Meath,53.7597065,-6.841353799999999,94,2,6,0,826,138,1066,0
Carlingford,Louth,54.0468677,-6.190181,174,2,4,10,1120,268,1578,0
Carlow,Carlow,52.835854,-6.932474399999999,1208,122,114,478,22762,7268,31952,3
Carndonagh,Donegal,55.2506229,-7.266890500000001,204,0,22,4,2462,456,3148,0
Carnew,Wicklow,52.7096658,-6.4992316,32,0,4,10,908,400,1354,0
Carney,Sligo,54.3386704,-8.5277091,118,0,2,4,458,12,594,0
Carragh,Kildare,53.2371324,-6.7289787,188,0,0,92,1018,220,1518,0
Carraig Airt,Donegal,55.1775506,-7.793277699999999,54,0,0,0,204,26,284,0
Carrick-On-Shannon,Leitrim,53.945181,-8.0863766,176,10,14,54,4310,1096,5660,0
Carrick-on-Suir,Tipperary,52.3467186,-7.414770799999999,584,6,6,14,4312,1232,6154,0
Carrickmacross,Monaghan,53.9779778,-6.7188238,482,8,38,2,4738,1574,6842,0
Carrig on Bannow,Wexford,52.2385344,-6.7321656,84,0,2,0,322,50,458,0
Carrigaline,Cork,51.8164452,-8.3912494,1796,58,64,26,20048,3152,25144,3
Carrigallen,Leitrim,53.9769348,-7.644325899999999,10,0,0,6,426,144,586,0
Carrigans,Donegal,54.9512185,-7.428285199999999,54,0,2,2,374,18,450,0
Carrigkerry,Limerick,52.49449,-9.1486153,26,0,0,0,154,20,200,0
