Town,County,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Coill Dubh (Blackwood),Kildare,234,6,4,10,1402,198,1854,0
Collinstown,Westmeath,36,2,0,0,304,66,408,0
Collon,Louth,242,0,2,4,732,188,1168,0
Collooney,Sligo,146,0,2,12,1894,346,2400,0
Conna,Cork,118,0,4,0,542,96,760,0
Convoy,Donegal,196,0,6,0,1484,182,1868,0
Coolaney,Sligo,164,4,6,6,1478,42,1700,0
Coolboy,Wicklow,54,0,2,0,314,6,376,0
Coolgreany,Wexford,30,4,6,4,356,40,440,0
Cootehall,Roscommon,52,2,4,2,300,2,362,0
Cootehill,Cavan,234,0,6,2,1564,416,2222,0
Cork city and suburbs,Cork,25718,868,648,1218,170530,59804,258786,4
Corofin,Clare,158,0,0,2,676,76,912,0
Corrandulla,Galway,70,2,0,0,400,74,546,0
Corrofin,Galway,158,0,4,2,906,14,1084,0
Courtbrack,Cork,26,0,4,0,676,0,706,0
Courtmacsherry,Cork,118,0,2,2,508,38,668,0
Courtown,Wexford,676,4,22,28,3416,548,4694,0
Cratloe,Clare,52,4,4,2,910,44,1016,0
Craughwell,Galway,162,0,6,10,1250,38,1466,0
Creeslough,Donegal,64,0,0,0,266,68,398,0
Crinkill,Offaly,28,0,0,6,728,158,920,0
Cromane,Kerry,4,0,0,0,222,16,242,0
Crookstown,Cork,32,0,0,0,194,8,234,0
Croom,Limerick,26,2,0,0,658,266,952,0
Crossakeel,Meath,30,0,0,2,230,8,270,0
Crossbarry,Cork,156,0,4,0,434,4,598,0
Crosshaven,Cork,222,10,12,6,3290,610,4150,0
Crossmolina,Mayo,24,2,4,0,1126,166,1322,0
Crusheen,Clare,60,2,2,4,786,88,942,0
Culdaff,Donegal,54,2,2,2,352,24,436,0
Curragh Camp,Kildare,126,6,4,18,974,102,1230,0
Cut Bush,Kildare,48,0,2,12,306,58,426,0
Daingean,Offaly,182,4,10,22,1048,198,1464,0
Delvin,Westmeath,134,2,4,6,608,62,816,0
Derrinturn,Kildare,402,0,10,18,1638,346,2414,0
Dingle-Daingean Uí Chuis,Kerry,42,8,8,12,804,718,1592,0
Doirí Beaga,Donegal,52,0,6,0,622,72,752,0
Donabate,Dublin,812,40,18,2780,6622,3226,13498,0
Donard,Wicklow,24,0,2,0,204,48,278,0
Donaskeigh,Tipperary,18,0,4,0,188,10,220,0
Donegal,Donegal,84,6,14,2,2324,524,2954,0
Doneraile,Cork,14,2,2,8,742,178,946,0
Donore,Meath,140,2,0,10,698,178,1028,0
Doohamlat,Monaghan,32,0,0,0,292,64,388,0
Doon,Limerick,16,2,8,2,600,164,792,0
Doonbeg,Clare,22,0,2,0,182,60,266,0
Drangan,Tipperary,8,0,4,0,132,10,154,0
Drimoleague,Cork,48,0,2,0,438,68,556,0
Drogheda,Louth,6686,136,126,1208,31176,13690,53022,3
Dromahair,Leitrim,90,2,0,0,964,178,1234,0
Dromina,Cork,14,0,2,0,298,44,358,0
Dromineer,Tipperary,0,0,0,0,80,6,86,0
Dromiskin,Louth,188,4,2,8,1318,150,1670,0
Drommahane,Cork,78,2,10,18,960,196,1264,0
Dromore West,Sligo,70,0,4,0,270,20,364,0
Drumcollogher,Limerick,4,0,8,2,436,100,550,0
Drumconrath,Meath,76,0,6,2,326,60,470,0
Drumkeen,Donegal,38,2,4,0,366,22,432,0
Drumkeeran,Leitrim,6,0,0,2,184,70,262,0
Drumlish,Longford,230,0,18,18,976,172,1414,0
Drumod,Leitrim,156,4,2,26,668,30,886,0
Drumshanbo,Leitrim,40,0,6,12,1028,238,1324,0
Drumsna,Leitrim,44,2,0,2,272,2,322,0
Duagh,Kerry,22,0,4,0,292,44,362,0
Dublin city and suburbs,Dublin,225800,9312,2960,104860,689012,440362,1472306,1
Duleek,Meath,1450,8,14,46,4580,358,6456,0
Dumha Thuama,Mayo,34,0,0,2,60,4,100,0
Dunboyne,Meath,742,32,32,528,5740,2594,9668,0
Duncannon,Wexford,12,0,0,2,192,34,240,0
Duncormick,Wexford,26,0,0,0,178,12,216,0
Dundalk,Louth,4392,110,84,440,31450,11704,48180,3
Dunderrow,Cork,30,0,0,0,216,70,316,0
Dundrum,Tipperary,56,0,0,0,188,28,272,0
Dunfanaghy,Donegal,52,0,2,0,318,68,440,0
Dungarvan,Waterford,326,12,30,14,7846,3138,11366,0
Dunhill,Waterford,28,2,2,0,244,34,310,0
Dunkineely,Donegal,58,0,2,0,288,36,384,0
Dunlavin,Wicklow,14,4,4,0,828,340,1190,0
Dunleer,Louth,202,4,14,10,1772,682,2684,0
Dunmanway,Cork,62,2,10,6,1636,446,2162,0
Dunmore,Galway,26,0,2,0,556,208,792,0
Dunmore East,Waterford,228,0,6,10,1632,232,2108,0
Dunshaughlin,Meath,820,14,18,116,5936,2000,8904,0
Durrow,Laois,144,0,10,12,784,156,1106,0
Durrus,Cork,54,0,2,0,312,54,422,0
Easky,Sligo,16,0,2,0,182,40,240,0
Edenderry,Offaly,672,22,24,34,6330,2434,9516,0
Edgeworthstown,Longford,406,2,2,72,1280,458,2220,0
Elphin,Roscommon,34,2,4,10,546,174,770,0
Emly,Tipperary,34,0,0,2,298,52,386,0
Emo,Laois,40,2,2,6,242,32,324,0
Emyvale,Monaghan,108,0,6,0,580,86,780,0
Enfield,Meath,776,12,8,146,2992,1242,5176,0
Ennis,Clare,1002,58,70,246,26250,5554,33180,3
Enniscorthy,Wexford,732,18,38,30,9258,2958,13034,0
Enniscrone,Sligo,36,0,2,12,1022,264,1336,0
Enniskerry,Wicklow,216,14,14,106,1788,166,2304,0
Ennistimon,Clare,22,6,4,4,780,400,1216,0
Errill,Laois,34,0,4,0,196,14,248,0
Eyrecourt,Galway,36,0,2,4,172,36,250,0
Fahan,Donegal,66,0,2,0,504,14,586,0
Farran,Cork,28,0,4,0,356,24,412,0
Feakle,Clare,10,0,0,0,72,20,102,0
Fedamore,Limerick,46,0,0,0,414,14,474,0
Fenit,Kerry,28,0,4,4,630,68,734,0
Fennagh,Carlow,130,0,4,4,474,20,632,0
Ferbane,Offaly,28,2,4,12,1148,214,1408,0
Fermoy,Cork,286,22,20,10,5744,1994,8076,0
Ferns,Wexford,196,2,6,0,932,300,1436,0
Fethard,Tipperary,94,0,10,8,1496,356,1964,0
Fethard,Wexford,64,0,0,0,286,28,378,0
Fiddown,Kilkenny,42,0,2,0,514,20,578,0
Fieries,Kerry,124,2,6,0,630,154,916,0
Foxford,Mayo,62,0,4,6,1256,200,1528,0
Foynes,Limerick,46,0,0,0,446,78,570,0
Freemount,Cork,28,0,0,0,274,44,346,0
Frenchpark,Roscommon,60,0,6,4,392,76,538,0
Freshford,Kilkenny,84,2,8,0,406,84,584,0
Galbally,Limerick,32,0,2,4,194,36,268,0
Galway city and suburbs,Galway,11670,316,208,380,57788,29600,99962,2
Garristown,Dublin,244,2,0,6,522,88,862,0
Geashill,Offaly,64,2,2,8,310,94,480,0
Glanworth,Cork,84,2,0,6,576,122,790,0
Glaslough,Monaghan,46,0,4,2,430,38,520,0
Glassan,Westmeath,16,0,0,8,214,18,256,0
Gleann Cholm Cille,Donegal,14,0,0,0,110,38,162,0
Glenamaddy,Galway,32,0,8,0,414,214,668,0
Glenbeigh,Kerry,32,2,0,2,354,36,426,0
Glencullen,Dublin,18,2,2,34,408,38,502,0
Glenealy,Wicklow,102,4,10,10,612,72,810,0
Gleneely,Donegal,36,0,4,0,216,38,294,0
Glengarriff,Cork,34,0,0,2,142,42,220,0
Glenties,Donegal,30,0,6,0,802,196,1034,0
Glenville,Cork,130,2,4,0,568,102,806,0
Glin,Limerick,56,0,0,0,508,122,686,0
Gneevgullia,Kerry,50,0,6,2,320,32,410,0
Gob an Choire,Mayo,8,0,0,0,168,52,228,0
Golden,Tipperary,36,0,6,8,334,42,426,0
Goresbridge,Kilkenny,22,0,0,6,248,44,320,0
Gorey,Wexford,796,26,28,104,9662,3736,14352,0
Gormanston,Meath,28,0,0,20,284,24,356,0
Gort,Galway,174,2,4,30,2222,678,3110,0
Gort An Choirce,Donegal,28,0,4,0,280,46,358,0
Gortnahoo,Tipperary,46,0,6,0,242,64,358,0
Gowran,Kilkenny,116,0,6,4,784,130,1040,0
Graiguenamanagh-Tinnahinch,Kilkenny,82,6,2,14,976,282,1362,0
Granard,Longford,28,0,4,2,614,388,1036,0
Grange,Sligo,40,0,0,2,532,198,772,0
Greencastle,Donegal,158,4,10,4,1194,84,1454,0
Grenagh,Cork,106,0,2,0,934,28,1070,0
Greystones-Delgany,Wicklow,1972,104,78,2674,17024,4688,26540,3
Gurteen,Sligo,50,0,2,2,412,78,544,0
Hacketstown,Carlow,12,0,6,0,486,224,728,0
Halfway,Cork,32,0,6,0,328,0,366,0
Headford,Galway,58,0,12,0,1222,220,1512,0
Holycross,Tipperary,54,0,0,26,716,48,844,0
Hospital,Limerick,36,0,2,2,550,182,772,0
Inagh,Clare,18,0,2,0,214,18,252,0
Inchigeelagh,Cork,6,0,0,0,128,20,154,0
Inishannon,Cork,144,4,2,0,1066,248,1464,0
Inistioge,Kilkenny,44,0,0,0,236,40,320,0
Inniskeen,Monaghan,50,2,8,0,316,72,448,0
Irishtown,Mayo,22,0,6,0,168,32,228,0
Jenkinstown,Louth,86,0,6,8,416,2,518,0
Johnstown,Kildare,458,0,4,24,1412,88,1986,0
Johnstown,Kilkenny,20,2,0,0,358,88,468,0
Johnstownbridge,Kildare,160,0,4,20,610,108,902,0
Julianstown,Meath,146,2,0,26,650,114,938,0
Kanturk,Cork,152,2,18,28,2498,668,3366,0
Keadew,Roscommon,22,0,2,4,168,14,210,0
Keel-Dooagh,Mayo,52,0,2,2,356,56,468,0
Keenagh,Longford,162,0,2,8,640,136,948,0
Kells,Kilkenny,32,0,2,2,346,26,408,0
Kells,Meath,884,16,20,8,5138,1700,7766,0
Kenmare,Kerry,74,4,8,8,1982,732,2808,0
Kentstown,Meath,312,2,4,0,1126,204,1648,0
Kernanstown,Carlow,6,0,0,2,218,28,254,0
Keshcarrigan,Leitrim,42,0,0,4,188,12,246,0
Kilbeggan,Westmeath,60,2,12,8,1288,434,1804,0
Kilberry,Kildare,36,0,4,4,290,22,356,0
Kilbrin,Cork,18,0,2,0,186,26,232,0
Kilbrittain,Cork,34,0,2,0,216,46,298,0
Kilcloon,Meath,42,2,2,30,456,62,594,0
Kilcock,Kildare,976,38,20,696,7518,2534,11782,0
Kilcolgan,Galway,26,0,2,2,226,26,282,0
Kilcoole,Wicklow,536,20,14,300,3924,1146,5940,0
