"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","C03841V04591","Time of day","UNIT","VALUE"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","110","05:00 - 05:59","%","0.39"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","120","06:00 - 06:59","%","2.6"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","130","07:00 - 07:59","%","5.62"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","140","08:00 - 08:59","%","9.94"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","150","09:00 - 09:59","%","6.78"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","160","10:00 - 10:59","%","4.98"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","180","11:00 - 11:59","%","4.79"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","190","12:00 - 12:59","%","6.01"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","200","13:00 - 13:59","%","6.63"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","220","14:00 - 14:59","%","6.24"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","230","15:00 - 15:59","%","6.92"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","240","16:00 - 16:59","%","8.41"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","250","17:00 - 17:59","%","9.64"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","260","18:00 - 18:59","%","7.02"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","270","19:00 - 19:59","%","4.38"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","280","20:00 - 20:59","%","3.54"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","01","Red line","290","21:00 - 21:59","%","2.6"
