"STATISTIC","Statistic Label","TLIST(W1)","Week","C03132V03784","Luas Line","UNIT","VALUE"
"TII03C01","Passenger Journeys","2020W11","2020 Week 11","1","Red line","Number","347419"
"TII03C01","Passenger Journeys","2020W11","2020 Week 11","2","Green line","Number","337090"
"TII03C01","Passenger Journeys","2020W12","2020 Week 12","-","All Luas lines","Number","172062"
"TII03C01","Passenger Journeys","2020W12","2020 Week 12","1","Red line","Number","94591"
"TII03C01","Passenger Journeys","2020W12","2020 Week 12","2","Green line","Number","77471"
"TII03C01","Passenger Journeys","2020W13","2020 Week 13","-","All Luas lines","Number","109378"
"TII03C01","Passenger Journeys","2020W13","2020 Week 13","1","Red line","Number","64188"
"TII03C01","Passenger Journeys","2020W13","2020 Week 13","2","Green line","Number","45190"
"TII03C01","Passenger Journeys","2020W14","2020 Week 14","-","All Luas lines","Number","51655"
"TII03C01","Passenger Journeys","2020W14","2020 Week 14","1","Red line","Number","30357"
"TII03C01","Passenger Journeys","2020W14","2020 Week 14","2","Green line","Number","21298"
"TII03C01","Passenger Journeys","2020W15","2020 Week 15","-","All Luas lines","Number","51695"
"TII03C01","Passenger Journeys","2020W15","2020 Week 15","1","Red line","Number","31902"
"TII03C01","Passenger Journeys","2020W15","2020 Week 15","2","Green line","Number","19793"
"TII03C01","Passenger Journeys","2020W16","2020 Week 16","-","All Luas lines","Number","49393"
"TII03C01","Passenger Journeys","2020W16","2020 Week 16","1","Red line","Number","29666"
"TII03C01","Passenger Journeys","2020W16","2020 Week 16","2","Green line","Number","19727"
"TII03C01","Passenger Journeys","2020W17","2020 Week 17","-","All Luas lines","Number","55246"
"TII03C01","Passenger Journeys","2020W17","2020 Week 17","1","Red line","Number","33589"
"TII03C01","Passenger Journeys","2020W17","2020 Week 17","2","Green line","Number","21657"
"TII03C01","Passenger Journeys","2020W18","2020 Week 18","-","All Luas lines","Number","53321"
"TII03C01","Passenger Journeys","2020W18","2020 Week 18","1","Red line","Number","30363"
"TII03C01","Passenger Journeys","2020W18","2020 Week 18","2","Green line","Number","22958"
"TII03C01","Passenger Journeys","2020W19","2020 Week 19","-","All Luas lines","Number","62327"
"TII03C01","Passenger Journeys","2020W19","2020 Week 19","1","Red line","Number","37373"
"TII03C01","Passenger Journeys","2020W19","2020 Week 19","2","Green line","Number","24953"
"TII03C01","Passenger Journeys","2020W20","2020 Week 20","-","All Luas lines","Number","70288"
"TII03C01","Passenger Journeys","2020W20","2020 Week 20","1","Red line","Number","42233"
"TII03C01","Passenger Journeys","2020W20","2020 Week 20","2","Green line","Number","28056"
"TII03C01","Passenger Journeys","2020W21","2020 Week 21","-","All Luas lines","Number","97318"
"TII03C01","Passenger Journeys","2020W21","2020 Week 21","1","Red line","Number","57828"
"TII03C01","Passenger Journeys","2020W21","2020 Week 21","2","Green line","Number","39490"
"TII03C01","Passenger Journeys","2020W22","2020 Week 22","-","All Luas lines","Number","121645"
"TII03C01","Passenger Journeys","2020W22","2020 Week 22","1","Red line","Number","70711"
"TII03C01","Passenger Journeys","2020W22","2020 Week 22","2","Green line","Number","50934"
"TII03C01","Passenger Journeys","2020W23","2020 Week 23","-","All Luas lines","Number","116454"
"TII03C01","Passenger Journeys","2020W23","2020 Week 23","1","Red line","Number","66098"
"TII03C01","Passenger Journeys","2020W23","2020 Week 23","2","Green line","Number","50356"
"TII03C01","Passenger Journeys","2020W24","2020 Week 24","-","All Luas lines","Number","162187"
"TII03C01","Passenger Journeys","2020W24","2020 Week 24","1","Red line","Number","91498"
"TII03C01","Passenger Journeys","2020W24","2020 Week 24","2","Green line","Number","70689"
"TII03C01","Passenger Journeys","2020W25","2020 Week 25","-","All Luas lines","Number","198036"
"TII03C01","Passenger Journeys","2020W25","2020 Week 25","1","Red line","Number","104738"
"TII03C01","Passenger Journeys","2020W25","2020 Week 25","2","Green line","Number","93298"
"TII03C01","Passenger Journeys","2020W26","2020 Week 26","-","All Luas lines","Number","212109"
"TII03C01","Passenger Journeys","2020W26","2020 Week 26","1","Red line","Number","111503"
"TII03C01","Passenger Journeys","2020W26","2020 Week 26","2","Green line","Number","100606"
"TII03C01","Passenger Journeys","2020W27","2020 Week 27","-","All Luas lines","Number","260302"
"TII03C01","Passenger Journeys","2020W27","2020 Week 27","1","Red line","Number","132545"
"TII03C01","Passenger Journeys","2020W27","2020 Week 27","2","Green line","Number","127756"
"TII03C01","Passenger Journeys","2020W28","2020 Week 28","-","All Luas lines","Number","272181"
"TII03C01","Passenger Journeys","2020W28","2020 Week 28","1","Red line","Number","144676"
"TII03C01","Passenger Journeys","2020W28","2020 Week 28","2","Green line","Number","127505"
"TII03C01","Passenger Journeys","2020W29","2020 Week 29","-","All Luas lines","Number","281255"
"TII03C01","Passenger Journeys","2020W29","2020 Week 29","1","Red line","Number","147109"
"TII03C01","Passenger Journeys","2020W29","2020 Week 29","2","Green line","Number","134146"
"TII03C01","Passenger Journeys","2020W30","2020 Week 30","-","All Luas lines","Number","299837"
"TII03C01","Passenger Journeys","2020W30","2020 Week 30","1","Red line","Number","153043"
"TII03C01","Passenger Journeys","2020W30","2020 Week 30","2","Green line","Number","146794"
"TII03C01","Passenger Journeys","2020W31","2020 Week 31","-","All Luas lines","Number","329979"
"TII03C01","Passenger Journeys","2020W31","2020 Week 31","1","Red line","Number","175329"
"TII03C01","Passenger Journeys","2020W31","2020 Week 31","2","Green line","Number","154650"
"TII03C01","Passenger Journeys","2020W32","2020 Week 32","-","All Luas lines","Number","324687"
