"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C02","Taxes on Products","20091","2009Q1","-","State","Euro Million","4660"
"NAQ03C02","Taxes on Products","20092","2009Q2","-","State","Euro Million","3704"
"NAQ03C02","Taxes on Products","20093","2009Q3","-","State","Euro Million","5268"
"NAQ03C02","Taxes on Products","20094","2009Q4","-","State","Euro Million","4133"
"NAQ03C02","Taxes on Products","20101","2010Q1","-","State","Euro Million","4685"
"NAQ03C02","Taxes on Products","20102","2010Q2","-","State","Euro Million","3621"
"NAQ03C02","Taxes on Products","20103","2010Q3","-","State","Euro Million","5330"
"NAQ03C02","Taxes on Products","20104","2010Q4","-","State","Euro Million","4088"
"NAQ03C02","Taxes on Products","20111","2011Q1","-","State","Euro Million","4671"
"NAQ03C02","Taxes on Products","20112","2011Q2","-","State","Euro Million","3373"
"NAQ03C02","Taxes on Products","20113","2011Q3","-","State","Euro Million","4864"
"NAQ03C02","Taxes on Products","20114","2011Q4","-","State","Euro Million","3994"
"NAQ03C02","Taxes on Products","20121","2012Q1","-","State","Euro Million","4601"
"NAQ03C02","Taxes on Products","20122","2012Q2","-","State","Euro Million","3409"
"NAQ03C02","Taxes on Products","20123","2012Q3","-","State","Euro Million","5129"
"NAQ03C02","Taxes on Products","20124","2012Q4","-","State","Euro Million","3896"
"NAQ03C02","Taxes on Products","20131","2013Q1","-","State","Euro Million","4782"
"NAQ03C02","Taxes on Products","20132","2013Q2","-","State","Euro Million","3511"
"NAQ03C02","Taxes on Products","20133","2013Q3","-","State","Euro Million","5256"
"NAQ03C02","Taxes on Products","20134","2013Q4","-","State","Euro Million","4081"
"NAQ03C02","Taxes on Products","20141","2014Q1","-","State","Euro Million","4942"
"NAQ03C02","Taxes on Products","20142","2014Q2","-","State","Euro Million","4070"
"NAQ03C02","Taxes on Products","20143","2014Q3","-","State","Euro Million","5325"
"NAQ03C02","Taxes on Products","20144","2014Q4","-","State","Euro Million","4847"
"NAQ03C02","Taxes on Products","20151","2015Q1","-","State","Euro Million","5325"
"NAQ03C02","Taxes on Products","20152","2015Q2","-","State","Euro Million","4365"
"NAQ03C02","Taxes on Products","20153","2015Q3","-","State","Euro Million","5862"
"NAQ03C02","Taxes on Products","20154","2015Q4","-","State","Euro Million","4856"
"NAQ03C02","Taxes on Products","20161","2016Q1","-","State","Euro Million","5901"
"NAQ03C02","Taxes on Products","20162","2016Q2","-","State","Euro Million","4699"
"NAQ03C02","Taxes on Products","20163","2016Q3","-","State","Euro Million","6008"
"NAQ03C02","Taxes on Products","20164","2016Q4","-","State","Euro Million","5082"
"NAQ03C02","Taxes on Products","20171","2017Q1","-","State","Euro Million","6156"
"NAQ03C02","Taxes on Products","20172","2017Q2","-","State","Euro Million","4413"
"NAQ03C02","Taxes on Products","20173","2017Q3","-","State","Euro Million","6394"
"NAQ03C02","Taxes on Products","20174","2017Q4","-","State","Euro Million","5525"
"NAQ03C02","Taxes on Products","20181","2018Q1","-","State","Euro Million","6128"
"NAQ03C02","Taxes on Products","20182","2018Q2","-","State","Euro Million","4632"
"NAQ03C02","Taxes on Products","20183","2018Q3","-","State","Euro Million","6834"
"NAQ03C02","Taxes on Products","20184","2018Q4","-","State","Euro Million","5526"
"NAQ03C02","Taxes on Products","20191","2019Q1","-","State","Euro Million","6616"
