Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Collooney,Sligo,54.1849522,-8.4865545,146,0,2,12,1894,346,2400
Conna,Cork,52.0931079,-8.1073545,118,0,4,0,542,96,760
Convoy,Donegal,54.859725,-7.6654466,196,0,6,0,1484,182,1868
Coolaney,Sligo,54.1738093,-8.6008023,164,4,6,6,1478,42,1700
Coolboy,Wicklow,52.7620319,-6.4627803,54,0,2,0,314,6,376
Coolgreany,Wexford,52.7647077,-6.2360077,30,4,6,4,356,40,440
Cootehall,Roscommon,53.9841688,-8.1580069,52,2,4,2,300,2,362
Cootehill,Cavan,54.0725034,-7.0823541,234,0,6,2,1564,416,2222
Cork city and suburbs,Cork,51.8985143,-8.4756035,25718,868,648,1218,170530,59804,258786
Corofin,Clare,52.9448216,-9.0640874,158,0,0,2,676,76,912
Corrandulla,Galway,53.3991608,-8.9957945,70,2,0,0,400,74,546
Corrofin,Galway,53.437565,-8.8602715,158,0,4,2,906,14,1084
Courtbrack,Cork,51.8808748,-8.4785161,26,0,4,0,676,0,706
Courtmacsherry,Cork,51.6338554,-8.7059339,118,0,2,2,508,38,668
Courtown,Wexford,52.6448624,-6.2286169,676,4,22,28,3416,548,4694
Cratloe,Clare,52.6985433,-8.7628537,52,4,4,2,910,44,1016
Craughwell,Galway,53.2302689,-8.7347736,162,0,6,10,1250,38,1466
Creeslough,Donegal,55.1233497,-7.9094676,64,0,0,0,266,68,398
Crinkill,Offaly,53.0783786,-7.8970751,28,0,0,6,728,158,920
Cromane,Kerry,52.1061221,-9.8985347,4,0,0,0,222,16,242
Crookstown,Cork,51.842427,-8.8304319,32,0,0,0,194,8,234
Croom,Limerick,52.519036,-8.7174345,26,2,0,0,658,266,952
Crossakeel,Meath,53.7141192,-7.0205368,30,0,0,2,230,8,270
Crossbarry,Cork,51.8020473,-8.6453657,156,0,4,0,434,4,598
Crosshaven,Cork,51.8022632,-8.2904494,222,10,12,6,3290,610,4150
Crossmolina,Mayo,54.100342,-9.3158456,24,2,4,0,1126,166,1322
Crusheen,Clare,52.9386532,-8.8967688,60,2,2,4,786,88,942
Culdaff,Donegal,55.2859437,-7.1651351,54,2,2,2,352,24,436
Curragh Camp,Kildare,53.1474495,-6.8299723,126,6,4,18,974,102,1230
Cut Bush,Kildare,53.1237168,-6.8326039,48,0,2,12,306,58,426
Daingean,Offaly,53.2960818,-7.291967,182,4,10,22,1048,198,1464
Delvin,Westmeath,53.6125653,-7.0917224,134,2,4,6,608,62,816
Derrinturn,Kildare,53.3395275,-6.9399818,402,0,10,18,1638,346,2414
