Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
30/04/1984,0,0.682086199,0.675126135,0.675126135,417600,0,0,1984,4,30,0.675126135,Up
01/05/1984,0,0.682086199,0.675126135,0.675126135,503600,0,0,1984,5,1,0.675126135,Up
02/05/1984,0,0.675126104,0.668166041,0.668166041,590000,0,0,1984,5,2,0.668166041,Up
03/05/1984,0,0.682086199,0.675126135,0.675126135,1236400,0,0,1984,5,3,0.675126135,Up
04/05/1984,0,0.675126104,0.668166041,0.668166041,1158000,0,0,1984,5,4,0.668166041,Up
07/05/1984,0,0.66816607,0.661206007,0.661206007,531600,0,0,1984,5,7,0.661206007,Up
08/05/1984,0,0.661206036,0.654245973,0.654245973,921200,0,0,1984,5,8,0.654245973,Up
09/05/1984,0,0.647285908,0.640325844,0.640325844,1058400,0,0,1984,5,9,0.640325844,Up
10/05/1984,0,0.647285908,0.640325844,0.640325844,480400,0,0,1984,5,10,0.640325844,Up
11/05/1984,0,0.626405384,0.619445324,0.619445324,840000,0,0,1984,5,11,0.619445324,Up
14/05/1984,0,0.633366141,0.626406074,0.626406074,1291600,0,0,1984,5,14,0.626406074,Up
15/05/1984,0,0.640325814,0.63336575,0.63336575,788000,0,0,1984,5,15,0.63336575,Up
16/05/1984,0,0.647285908,0.640325844,0.640325844,1653600,0,0,1984,5,16,0.640325844,Up
17/05/1984,0,0.640325814,0.63336575,0.63336575,1276800,0,0,1984,5,17,0.63336575,Up
18/05/1984,0,0.647285908,0.640325844,0.640325844,956800,0,0,1984,5,18,0.640325844,Up
21/05/1984,0,0.640325814,0.63336575,0.63336575,2364400,0,0,1984,5,21,0.63336575,Up
22/05/1984,0,0.626405384,0.619445324,0.619445324,2284800,0,0,1984,5,22,0.619445324,Up
23/05/1984,0,0.626405384,0.619445324,0.619445324,1587200,0,0,1984,5,23,0.619445324,Up
24/05/1984,0,0.612485677,0.605525613,0.605525613,1258000,0,0,1984,5,24,0.605525613,Up
25/05/1984,0,0.619445711,0.612485647,0.612485647,1450000,0,0,1984,5,25,0.612485647,Up
29/05/1984,0,0.626405384,0.619445324,0.619445324,997200,0,0,1984,5,29,0.619445324,Up
30/05/1984,0,0.619445711,0.612485647,0.612485647,764000,0,0,1984,5,30,0.612485647,Up
31/05/1984,0,0.612485677,0.605525613,0.605525613,824000,0,0,1984,5,31,0.605525613,Up
01/06/1984,0,0.619445711,0.612485647,0.612485647,747200,0,0,1984,6,1,0.612485647,Up
