Year,Month,TotalVolume,MaxHigh,MinLow,AvgClose
2013,7,39153700,30.52,28.91,29.75
2017,12,102244600,26.48,25.5,26.04
1981,8,365600,0.22,0.19,0.2
2014,9,108986100,29.86,28.14,28.87
2020,4,84546200,35.73,30.49,33.48
1998,12,6031300,22.53,19.72,21.31
2001,12,12672600,17.83,16.96,17.43
2003,5,17473300,16.14,14.73,15.43
2009,6,40341300,17.23,15.25,16.37
1981,2,136800,0.18,0.16,0.17
2013,4,79018500,29.94,26.43,28.09
1995,1,22251000,6.03,5.23,5.68
2017,9,68468900,29.68,28.92,29.33
2023,4,59020200,36.83,34.2,35.55
1987,8,34573000,3.3,3.03,3.18
2000,9,8501000,20.51,18.16,19.06
2001,3,24828400,19.53,16.17,17.95
1983,11,17158800,0.63,0.58,0.6
1987,7,36700800,3.42,2.95,3.21
1990,3,30730600,3.19,2.68,2.93
1997,12,8904100,15.36,13.94,14.85
2009,5,53060200,15.92,14.17,14.99
2014,3,43126100,33.79,31.41,32.64
2023,5,59783200,35.77,32.4,34.52
1988,2,16217800,2.13,1.9,2.04
1991,12,41241000,8.13,6.75,7.52
2015,10,96994400,28.23,24.74,26.54
1983,8,28128000,0.79,0.65,0.73
1988,9,30928600,2.2,1.83,1.99
2021,3,121129400,32.27,29.53,31.25
1982,11,35107200,0.68,0.52,0.6
1988,1,23562400,2.18,1.9,2.06
1994,11,21101500,5.57,5.26,5.4
2000,8,10904600,20.36,19.01,19.78
1986,3,54479800,1.82,1.57,1.7
1989,9,10335600,2.93,2.77,2.86
2016,6,95833400,29.7,27.16,28.53
1985,8,29393200,1.05,0.98,1.0
1992,1,86972800,8.86,7.48,8.03
2013,11,58068500,31.61,30.26,30.94
1983,10,30422400,0.68,0.57,0.62
1993,2,61960400,5.21,4.66,4.93
1993,6,32225500,5.07,4.34,4.66
1993,11,22548000,5.38,4.91,5.1
1986,11,27507800,1.5,1.41,1.45
1988,6,22314400,2.03,1.89,1.95
1989,8,9358000,2.96,2.74,2.85
1991,8,42927800,5.81,5.19,5.56
2005,7,22569000,19.37,18.35,18.92
2007,4,29863300,25.19,23.08,24.18
2008,7,55856100,21.95,19.35,20.89
1985,11,33556400,1.29,1.17,1.22
1989,12,10712200,3.18,2.82,2.99
2011,5,52513800,22.87,21.88,22.39
2013,5,46560500,31.1,29.03,29.85
2021,2,158327800,32.48,29.4,30.62
1993,10,29597400,5.67,4.98,5.33
1999,10,13351900,20.32,16.71,19.05
2011,7,47896000,23.51,22.05,22.63
2024,1,71706900,40.91,36.46,38.96
2006,9,24929900,23.5,21.81,22.65
2010,8,34320300,19.09,17.69,18.54
2016,12,81211500,27.17,26.09,26.68
1986,8,31366400,1.66,1.55,1.59
2014,2,51328600,33.67,29.84,32.3
2012,11,56089600,24.94,23.39,24.08
2016,1,78156600,27.08,24.89,26.13
1980,4,13600,0.15,0.12,0.13
1984,4,21984800,0.7,0.63,0.67
1994,6,22900700,4.8,4.29,4.49
2016,4,74298900,29.57,26.9,28.66
2020,1,57168100,39.57,37.75,38.55
1982,7,3868000,0.39,0.34,0.36
1997,5,15423000,13.26,11.97,12.5
2003,7,23844900,15.37,13.68,14.52
2014,6,37764500,33.07,32.03,32.54
2003,4,18744300,14.99,13.02,14.21
2004,9,24669800,17.01,15.67,16.43
1989,7,9239200,2.86,2.52,2.68
2004,11,27907500,17.62,16.48,17.07
1992,4,54328700,7.42,6.38,6.83
1997,7,14138900,14.86,13.16,13.97
1998,4,11170900,19.15,16.28,17.98
2000,12,18115800,19.92,18.08,18.94
2002,2,13340100,17.83,16.34,17.21
1992,10,35622900,7.12,6.38,6.67
1993,5,33835400,5.33,4.83,5.06
1993,9,50109400,5.39,4.67,5.05
1997,8,14584200,13.63,12.0,12.73
1981,1,144000,0.19,0.16,0.17
1985,5,34207200,0.91,0.78,0.84
2011,6,40390600,22.51,21.02,21.74
1983,6,48940000,0.85,0.74,0.78
1995,6,19941600,7.24,6.43,6.8
2017,4,57392800,30.12,28.77,29.42
2019,4,54458000,33.41,31.37,32.33
2004,12,32424700,18.56,16.83,17.91
2000,10,10631500,20.49,18.99,19.87
2010,10,39840800,20.96,19.67,20.28
1988,11,17770400,2.33,2.19,2.25
2015,3,71805500,30.91,28.54,29.76
1994,1,31104500,5.64,5.11,5.29
2010,2,45454200,19.14,17.82,18.47
2010,3,36847000,19.05,17.79,18.44
2011,11,59058700,23.95,22.05,23.16
1990,10,33012600,4.04,3.49,3.74
2001,10,15115200,19.78,18.23,19.11
2009,7,30784500,18.42,16.03,17.24
2019,9,46624100,35.05,32.61,33.75
2020,8,52161400,35.65,33.47,34.48
1987,3,47008000,2.95,2.6,2.75
2000,5,11181300,20.92,18.89,19.69
2012,1,49317100,24.7,23.17,23.91
1980,12,63200,0.18,0.15,0.16
1981,11,471200,0.24,0.22,0.23
2006,3,28971200,22.35,20.72,21.68
2022,1,94006200,42.71,39.44,40.78
2023,10,73429400,36.97,33.82,35.48
1982,6,1781600,0.37,0.32,0.34
2000,1,16971500,20.21,16.58,18.19
2018,9,38592300,31.45,29.84,30.68
1985,12,36320400,1.28,1.19,1.23
1986,10,38962000,1.56,1.41,1.48
1987,12,29684400,2.17,1.96,2.07
2008,5,27109100,20.28,19.23,19.69
1984,2,21818400,0.62,0.58,0.59
2006,1,25239700,21.37,20.15,20.71
1990,5,34978000,3.42,3.02,3.24
1994,5,26264300,4.83,4.26,4.48
2007,5,63306600,24.7,21.42,23.57
2008,4,35604400,19.91,18.41,19.23
2022,5,126260800,42.08,38.97,40.91
1982,3,398400,0.27,0.24,0.25
2021,1,83458700,33.87,31.91,32.84
1992,5,37695000,7.23,6.44,6.91
1990,12,33481400,4.24,3.9,4.09
2002,7,30031900,15.41,11.21,13.59
2006,4,24884600,23.22,20.87,21.51
2002,4,21864300,17.66,16.08,16.68
2015,7,92063900,27.88,26.27,27.06
