"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","40","All public transport, excluding LUAS","Number","3422765"
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","10","Dublin Metro Bus","Number","2793023"
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","20","Bus, excluding Dublin Metro","Number","689702"
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W34","2019 Week 34","40","All public transport, excluding LUAS","Number","3482725"
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","10","Dublin Metro Bus","Number","2872215"
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","20","Bus, excluding Dublin Metro","Number","695388"
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W35","2019 Week 35","40","All public transport, excluding LUAS","Number","3567603"
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","10","Dublin Metro Bus","Number","2999569"
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","20","Bus, excluding Dublin Metro","Number","744038"
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W36","2019 Week 36","40","All public transport, excluding LUAS","Number","3743607"
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","10","Dublin Metro Bus","Number","3109763"
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","20","Bus, excluding Dublin Metro","Number","820112"
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W37","2019 Week 37","40","All public transport, excluding LUAS","Number","3929875"
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","10","Dublin Metro Bus","Number","3182473"
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","20","Bus, excluding Dublin Metro","Number","828356"
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W38","2019 Week 38","40","All public transport, excluding LUAS","Number","4010829"
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","10","Dublin Metro Bus","Number","3204042"
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","20","Bus, excluding Dublin Metro","Number","814190"
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W39","2019 Week 39","40","All public transport, excluding LUAS","Number","4018232"
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","10","Dublin Metro Bus","Number","3139165"
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","20","Bus, excluding Dublin Metro","Number","776594"
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W40","2019 Week 40","40","All public transport, excluding LUAS","Number","3915759"
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","10","Dublin Metro Bus","Number","3243670"
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","20","Bus, excluding Dublin Metro","Number","824314"
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W41","2019 Week 41","40","All public transport, excluding LUAS","Number","4067984"
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","10","Dublin Metro Bus","Number","3238993"
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","20","Bus, excluding Dublin Metro","Number","805498"
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W42","2019 Week 42","40","All public transport, excluding LUAS","Number","4044491"
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","10","Dublin Metro Bus","Number","3170924"
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","20","Bus, excluding Dublin Metro","Number","824331"
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W43","2019 Week 43","40","All public transport, excluding LUAS","Number","3995255"
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","10","Dublin Metro Bus","Number","2708101"
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","20","Bus, excluding Dublin Metro","Number","655906"
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W44","2019 Week 44","40","All public transport, excluding LUAS","Number","3364007"
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","10","Dublin Metro Bus","Number","3130443"
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","20","Bus, excluding Dublin Metro","Number","775922"
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W45","2019 Week 45","40","All public transport, excluding LUAS","Number","3906365"
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","10","Dublin Metro Bus","Number","3206894"
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","20","Bus, excluding Dublin Metro","Number","783830"
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W46","2019 Week 46","40","All public transport, excluding LUAS","Number","3990724"
"THA25C01","Passenger Journeys","2019W47","2019 Week 47","10","Dublin Metro Bus","Number","3192052"
