"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02734V03302","Means of Travel","C02704V03272","At Work, School or College","UNIT","VALUE"
"FY081C01","Total Persons","2011","2011","2","Female","01","On foot","-06","All persons","Number","219402"
"FY081C01","Total Persons","2011","2011","2","Female","01","On foot","904","Population aged 15 years and over at work","Number","96796"
"FY081C01","Total Persons","2011","2011","2","Female","01","On foot","901","Children at school aged between 5 and 12 years","Number","58537"
"FY081C01","Total Persons","2011","2011","2","Female","01","On foot","902","Students at school or college aged between 13 and 18 years","Number","36503"
"FY081C01","Total Persons","2011","2011","2","Female","01","On foot","903","Students at school or college aged 19 years and over","Number","27566"
"FY081C01","Total Persons","2011","2011","2","Female","02","Bicycle","-06","All persons","Number","15367"
"FY081C01","Total Persons","2011","2011","2","Female","02","Bicycle","904","Population aged 15 years and over at work","Number","10728"
"FY081C01","Total Persons","2011","2011","2","Female","02","Bicycle","901","Children at school aged between 5 and 12 years","Number","1795"
"FY081C01","Total Persons","2011","2011","2","Female","02","Bicycle","902","Students at school or college aged between 13 and 18 years","Number","529"
"FY081C01","Total Persons","2011","2011","2","Female","02","Bicycle","903","Students at school or college aged 19 years and over","Number","2315"
"FY081C01","Total Persons","2011","2011","2","Female","03","Bus, minibus or coach","-06","All persons","Number","151302"
"FY081C01","Total Persons","2011","2011","2","Female","03","Bus, minibus or coach","904","Population aged 15 years and over at work","Number","53081"
"FY081C01","Total Persons","2011","2011","2","Female","03","Bus, minibus or coach","901","Children at school aged between 5 and 12 years","Number","29046"
"FY081C01","Total Persons","2011","2011","2","Female","03","Bus, minibus or coach","902","Students at school or college aged between 13 and 18 years","Number","48010"
"FY081C01","Total Persons","2011","2011","2","Female","03","Bus, minibus or coach","903","Students at school or college aged 19 years and over","Number","21165"
"FY081C01","Total Persons","2011","2011","2","Female","04","Train, DART or LUAS","-06","All persons","Number","35971"
"FY081C01","Total Persons","2011","2011","2","Female","04","Train, DART or LUAS","904","Population aged 15 years and over at work","Number","27097"
"FY081C01","Total Persons","2011","2011","2","Female","04","Train, DART or LUAS","901","Children at school aged between 5 and 12 years","Number","320"
"FY081C01","Total Persons","2011","2011","2","Female","04","Train, DART or LUAS","902","Students at school or college aged between 13 and 18 years","Number","2714"
"FY081C01","Total Persons","2011","2011","2","Female","04","Train, DART or LUAS","903","Students at school or college aged 19 years and over","Number","5840"
"FY081C01","Total Persons","2011","2011","2","Female","05","Motorcycle or scooter","-06","All persons","Number","1293"
"FY081C01","Total Persons","2011","2011","2","Female","05","Motorcycle or scooter","904","Population aged 15 years and over at work","Number","1111"
"FY081C01","Total Persons","2011","2011","2","Female","05","Motorcycle or scooter","901","Children at school aged between 5 and 12 years","Number","0"
"FY081C01","Total Persons","2011","2011","2","Female","05","Motorcycle or scooter","902","Students at school or college aged between 13 and 18 years","Number","55"
"FY081C01","Total Persons","2011","2011","2","Female","05","Motorcycle or scooter","903","Students at school or college aged 19 years and over","Number","127"
"FY081C01","Total Persons","2011","2011","2","Female","06","Motor car: Driver","-06","All persons","Number","583973"
"FY081C01","Total Persons","2011","2011","2","Female","06","Motor car: Driver","904","Population aged 15 years and over at work","Number","551638"
"FY081C01","Total Persons","2011","2011","2","Female","06","Motor car: Driver","901","Children at school aged between 5 and 12 years","Number","0"
"FY081C01","Total Persons","2011","2011","2","Female","06","Motor car: Driver","902","Students at school or college aged between 13 and 18 years","Number","2755"
"FY081C01","Total Persons","2011","2011","2","Female","06","Motor car: Driver","903","Students at school or college aged 19 years and over","Number","29580"
"FY081C01","Total Persons","2011","2011","2","Female","07","Motor car: Passenger","-06","All persons","Number","262791"
"FY081C01","Total Persons","2011","2011","2","Female","07","Motor car: Passenger","904","Population aged 15 years and over at work","Number","43346"
"FY081C01","Total Persons","2011","2011","2","Female","07","Motor car: Passenger","901","Children at school aged between 5 and 12 years","Number","145893"
"FY081C01","Total Persons","2011","2011","2","Female","07","Motor car: Passenger","902","Students at school or college aged between 13 and 18 years","Number","64757"
"FY081C01","Total Persons","2011","2011","2","Female","07","Motor car: Passenger","903","Students at school or college aged 19 years and over","Number","8795"
"FY081C01","Total Persons","2011","2011","2","Female","11","Van","-06","All persons","Number","3494"
"FY081C01","Total Persons","2011","2011","2","Female","11","Van","904","Population aged 15 years and over at work","Number","2726"
"FY081C01","Total Persons","2011","2011","2","Female","11","Van","901","Children at school aged between 5 and 12 years","Number","410"
"FY081C01","Total Persons","2011","2011","2","Female","11","Van","902","Students at school or college aged between 13 and 18 years","Number","264"
"FY081C01","Total Persons","2011","2011","2","Female","11","Van","903","Students at school or college aged 19 years and over","Number","94"
"FY081C01","Total Persons","2011","2011","2","Female","12","Other, incl. lorry","-06","All persons","Number","610"
"FY081C01","Total Persons","2011","2011","2","Female","12","Other, incl. lorry","904","Population aged 15 years and over at work","Number","461"
"FY081C01","Total Persons","2011","2011","2","Female","12","Other, incl. lorry","901","Children at school aged between 5 and 12 years","Number","80"
"FY081C01","Total Persons","2011","2011","2","Female","12","Other, incl. lorry","902","Students at school or college aged between 13 and 18 years","Number","35"
"FY081C01","Total Persons","2011","2011","2","Female","12","Other, incl. lorry","903","Students at school or college aged 19 years and over","Number","34"
"FY081C01","Total Persons","2011","2011","2","Female","98","Not stated","-06","All persons","Number","42548"
"FY081C01","Total Persons","2011","2011","2","Female","98","Not stated","904","Population aged 15 years and over at work","Number","28193"
"FY081C01","Total Persons","2011","2011","2","Female","98","Not stated","901","Children at school aged between 5 and 12 years","Number","8542"
"FY081C01","Total Persons","2011","2011","2","Female","98","Not stated","902","Students at school or college aged between 13 and 18 years","Number","2665"
"FY081C01","Total Persons","2011","2011","2","Female","98","Not stated","903","Students at school or college aged 19 years and over","Number","3148"
"FY081C01","Total Persons","2011","2011","2","Female","-","All means of travel","-06","All persons","Number","1316751"
"FY081C01","Total Persons","2011","2011","2","Female","-","All means of travel","904","Population aged 15 years and over at work","Number","815177"
"FY081C01","Total Persons","2011","2011","2","Female","-","All means of travel","901","Children at school aged between 5 and 12 years","Number","244623"
"FY081C01","Total Persons","2011","2011","2","Female","-","All means of travel","902","Students at school or college aged between 13 and 18 years","Number","158287"
"FY081C01","Total Persons","2011","2011","2","Female","-","All means of travel","903","Students at school or college aged 19 years and over","Number","98664"
"FY081C01","Total Persons","2016","2016","-","Both sexes","01","On foot","-06","All persons","Number","426221"
"FY081C01","Total Persons","2016","2016","-","Both sexes","01","On foot","904","Population aged 15 years and over at work","Number","175080"
"FY081C01","Total Persons","2016","2016","-","Both sexes","01","On foot","901","Children at school aged between 5 and 12 years","Number","128218"
"FY081C01","Total Persons","2016","2016","-","Both sexes","01","On foot","902","Students at school or college aged between 13 and 18 years","Number","74111"
"FY081C01","Total Persons","2016","2016","-","Both sexes","01","On foot","903","Students at school or college aged 19 years and over","Number","48812"
"FY081C01","Total Persons","2016","2016","-","Both sexes","02","Bicycle","-06","All persons","Number","82123"
"FY081C01","Total Persons","2016","2016","-","Both sexes","02","Bicycle","904","Population aged 15 years and over at work","Number","56837"
"FY081C01","Total Persons","2016","2016","-","Both sexes","02","Bicycle","901","Children at school aged between 5 and 12 years","Number","7326"
"FY081C01","Total Persons","2016","2016","-","Both sexes","02","Bicycle","902","Students at school or college aged between 13 and 18 years","Number","7282"
"FY081C01","Total Persons","2016","2016","-","Both sexes","02","Bicycle","903","Students at school or college aged 19 years and over","Number","10678"
"FY081C01","Total Persons","2016","2016","-","Both sexes","03","Bus, minibus or coach","-06","All persons","Number","313097"
"FY081C01","Total Persons","2016","2016","-","Both sexes","03","Bus, minibus or coach","904","Population aged 15 years and over at work","Number","111436"
"FY081C01","Total Persons","2016","2016","-","Both sexes","03","Bus, minibus or coach","901","Children at school aged between 5 and 12 years","Number","56145"
"FY081C01","Total Persons","2016","2016","-","Both sexes","03","Bus, minibus or coach","902","Students at school or college aged between 13 and 18 years","Number","99573"
"FY081C01","Total Persons","2016","2016","-","Both sexes","03","Bus, minibus or coach","903","Students at school or college aged 19 years and over","Number","45943"
"FY081C01","Total Persons","2016","2016","-","Both sexes","04","Train, DART or LUAS","-06","All persons","Number","82627"
"FY081C01","Total Persons","2016","2016","-","Both sexes","04","Train, DART or LUAS","904","Population aged 15 years and over at work","Number","63133"
"FY081C01","Total Persons","2016","2016","-","Both sexes","04","Train, DART or LUAS","901","Children at school aged between 5 and 12 years","Number","701"
"FY081C01","Total Persons","2016","2016","-","Both sexes","04","Train, DART or LUAS","902","Students at school or college aged between 13 and 18 years","Number","5649"
"FY081C01","Total Persons","2016","2016","-","Both sexes","04","Train, DART or LUAS","903","Students at school or college aged 19 years and over","Number","13144"
"FY081C01","Total Persons","2016","2016","-","Both sexes","05","Motorcycle or scooter","-06","All persons","Number","8565"
"FY081C01","Total Persons","2016","2016","-","Both sexes","05","Motorcycle or scooter","904","Population aged 15 years and over at work","Number","7990"
"FY081C01","Total Persons","2016","2016","-","Both sexes","05","Motorcycle or scooter","901","Children at school aged between 5 and 12 years","Number","0"
"FY081C01","Total Persons","2016","2016","-","Both sexes","05","Motorcycle or scooter","902","Students at school or college aged between 13 and 18 years","Number","160"
"FY081C01","Total Persons","2016","2016","-","Both sexes","05","Motorcycle or scooter","903","Students at school or college aged 19 years and over","Number","415"
"FY081C01","Total Persons","2016","2016","-","Both sexes","06","Motor car: Driver","-06","All persons","Number","1202441"
"FY081C01","Total Persons","2016","2016","-","Both sexes","06","Motor car: Driver","904","Population aged 15 years and over at work","Number","1152631"
"FY081C01","Total Persons","2016","2016","-","Both sexes","06","Motor car: Driver","901","Children at school aged between 5 and 12 years","Number","0"
"FY081C01","Total Persons","2016","2016","-","Both sexes","06","Motor car: Driver","902","Students at school or college aged between 13 and 18 years","Number","5039"
"FY081C01","Total Persons","2016","2016","-","Both sexes","06","Motor car: Driver","903","Students at school or college aged 19 years and over","Number","44771"
"FY081C01","Total Persons","2016","2016","-","Both sexes","07","Motor car: Passenger","-06","All persons","Number","570254"
"FY081C01","Total Persons","2016","2016","-","Both sexes","07","Motor car: Passenger","904","Population aged 15 years and over at work","Number","77335"
"FY081C01","Total Persons","2016","2016","-","Both sexes","07","Motor car: Passenger","901","Children at school aged between 5 and 12 years","Number","327039"
"FY081C01","Total Persons","2016","2016","-","Both sexes","07","Motor car: Passenger","902","Students at school or college aged between 13 and 18 years","Number","146755"
"FY081C01","Total Persons","2016","2016","-","Both sexes","07","Motor car: Passenger","903","Students at school or college aged 19 years and over","Number","19125"
"FY081C01","Total Persons","2016","2016","-","Both sexes","11","Van","-06","All persons","Number","128310"
"FY081C01","Total Persons","2016","2016","-","Both sexes","11","Van","904","Population aged 15 years and over at work","Number","126029"
"FY081C01","Total Persons","2016","2016","-","Both sexes","11","Van","901","Children at school aged between 5 and 12 years","Number","912"
"FY081C01","Total Persons","2016","2016","-","Both sexes","11","Van","902","Students at school or college aged between 13 and 18 years","Number","605"
"FY081C01","Total Persons","2016","2016","-","Both sexes","11","Van","903","Students at school or college aged 19 years and over","Number","764"
"FY081C01","Total Persons","2016","2016","-","Both sexes","12","Other, incl. lorry","-06","All persons","Number","11917"
"FY081C01","Total Persons","2016","2016","-","Both sexes","12","Other, incl. lorry","904","Population aged 15 years and over at work","Number","11593"
"FY081C01","Total Persons","2016","2016","-","Both sexes","12","Other, incl. lorry","901","Children at school aged between 5 and 12 years","Number","154"
"FY081C01","Total Persons","2016","2016","-","Both sexes","12","Other, incl. lorry","902","Students at school or college aged between 13 and 18 years","Number","90"
"FY081C01","Total Persons","2016","2016","-","Both sexes","12","Other, incl. lorry","903","Students at school or college aged 19 years and over","Number","80"
"FY081C01","Total Persons","2016","2016","-","Both sexes","98","Not stated","-06","All persons","Number","136995"
"FY081C01","Total Persons","2016","2016","-","Both sexes","98","Not stated","904","Population aged 15 years and over at work","Number","93709"
"FY081C01","Total Persons","2016","2016","-","Both sexes","98","Not stated","901","Children at school aged between 5 and 12 years","Number","26119"
"FY081C01","Total Persons","2016","2016","-","Both sexes","98","Not stated","902","Students at school or college aged between 13 and 18 years","Number","10697"
"FY081C01","Total Persons","2016","2016","-","Both sexes","98","Not stated","903","Students at school or college aged 19 years and over","Number","6470"
"FY081C01","Total Persons","2016","2016","-","Both sexes","-","All means of travel","-06","All persons","Number","2962550"
"FY081C01","Total Persons","2016","2016","-","Both sexes","-","All means of travel","904","Population aged 15 years and over at work","Number","1875773"
"FY081C01","Total Persons","2016","2016","-","Both sexes","-","All means of travel","901","Children at school aged between 5 and 12 years","Number","546614"
"FY081C01","Total Persons","2016","2016","-","Both sexes","-","All means of travel","902","Students at school or college aged between 13 and 18 years","Number","349961"
"FY081C01","Total Persons","2016","2016","-","Both sexes","-","All means of travel","903","Students at school or college aged 19 years and over","Number","190202"
"FY081C01","Total Persons","2016","2016","1","Male","01","On foot","-06","All persons","Number","204428"
"FY081C01","Total Persons","2016","2016","1","Male","01","On foot","904","Population aged 15 years and over at work","Number","79566"
"FY081C01","Total Persons","2016","2016","1","Male","01","On foot","901","Children at school aged between 5 and 12 years","Number","64764"
"FY081C01","Total Persons","2016","2016","1","Male","01","On foot","902","Students at school or college aged between 13 and 18 years","Number","37614"
"FY081C01","Total Persons","2016","2016","1","Male","01","On foot","903","Students at school or college aged 19 years and over","Number","22484"
